"Repeat","OuterFold","Model","N_OuterTrain","N_OuterVal","N_Selected_Features","AUC","Accuracy","Sensitivity","Specificity","Precision","F1","MCC"
4,1,"RandomForest",82,10,20,0.84,0.7,0.4,1,1,0.571428571428572,0.5
4,1,"SVM",82,10,20,0.6,0.7,0.4,1,1,0.571428571428572,0.5
4,1,"XGBoost",82,10,20,0.64,0.8,0.6,1,1,0.75,0.654653670707977
4,2,"BinaryLogistic",83,9,18,0.7,0.666666666666667,1,0.4,0.571428571428571,0.727272727272727,0.478091443733757
4,2,"RandomForest",83,9,18,0.85,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
4,2,"SVM",83,9,18,0.7,0.444444444444444,0.25,0.6,0.333333333333333,0.285714285714286,-0.158113883008419
4,2,"XGBoost",83,9,18,0.6,0.555555555555556,0.25,0.8,0.5,0.333333333333333,0.0597614304667197
4,3,"BinaryLogistic",83,9,16,0.85,0.777777777777778,0.75,0.8,0.75,0.75,0.55
4,3,"RandomForest",83,9,16,0.75,0.777777777777778,0.75,0.8,0.75,0.75,0.55
4,3,"SVM",83,9,16,0.7,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
4,3,"XGBoost",83,9,16,0.5,0.333333333333333,0.25,0.4,0.25,0.25,-0.35
4,4,"BinaryLogistic",83,9,15,0.8,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
4,4,"RandomForest",83,9,15,0.75,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
4,4,"SVM",83,9,15,0.5,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
4,4,"XGBoost",83,9,15,0.8,0.777777777777778,0.75,0.8,0.75,0.75,0.55
4,5,"BinaryLogistic",82,10,12,0.92,0.8,0.8,0.8,0.8,0.8,0.6
4,5,"RandomForest",82,10,12,0.8,0.7,0.6,0.8,0.75,0.666666666666667,0.408248290463863
4,5,"SVM",82,10,12,0.84,0.8,0.8,0.8,0.8,0.8,0.6
4,5,"XGBoost",82,10,12,0.88,0.7,0.8,0.6,0.666666666666667,0.727272727272727,0.408248290463863
4,6,"BinaryLogistic",84,8,19,0.75,0.75,0.5,1,1,0.666666666666667,0.577350269189626
4,6,"RandomForest",84,8,19,1,0.75,0.5,1,1,0.666666666666667,0.577350269189626
4,6,"SVM",84,8,19,0.9375,0.875,0.75,1,1,0.857142857142857,0.774596669241483
